Name,Category,Canonical SMILES,Isomeric SMILES,IUPAC
Quipazine,Piperazine,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,2-piperazin-1-ylquinoline
MK212,Piperazine,C1CN(CCN1)C2=CN=CC(=N2)Cl,C1CN(CCN1)C2=CN=CC(=N2)Cl,2-chloro-6-piperazin-1-ylpyrazine
"N,N-Dimethyltryptamine",Tryptamine,CN(C)CCC1=CNC2=CC=CC=C21,CN(C)CCC1=CNC2=CC=CC=C21,"2-(1H-indol-3-yl)-N,N-dimethylethanamine"
Psilocin,Tryptamine,CN(C)CCC1=CNC2=C1C(=CC=C2)O,CN(C)CCC1=CNC2=C1C(=CC=C2)O,3-[2-(dimethylamino)ethyl]-1H-indol-4-ol
Psilocybin,Tryptamine,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] dihydrogen phosphate
25B-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,"2-(4-bromo-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
Bromocriptine,Lysergamide,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Ergotamine,Lysergamide,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lisuride,Lysergamide,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea"
5HTP,Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N,(2S)-2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid
"5-methoxy-N,N-dimethyltryptamine",Tryptamine,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,"2-(5-methoxy-1H-indol-3-yl)-N,N-dimethylethanamine"
Dopamine,Phenethylamine,C1=CC(=C(C=C1CCN)O)O,C1=CC(=C(C=C1CCN)O)O,"4-(2-aminoethyl)benzene-1,2-diol"
Apomorphine,Lysergamide,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol"
Epinephrine,Phenethylamine,CNCC(C1=CC(=C(C=C1)O)O)O,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol"
MDMA,Phenethylamine,CC(CC1=CC2=C(C=C1)OCO2)NC,CC(CC1=CC2=C(C=C1)OCO2)NC,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine"
"3,4-Methylenedioxyamphetamine",Phenethylamine,CC(CC1=CC2=C(C=C1)OCO2)N,CC(CC1=CC2=C(C=C1)OCO2)N,"1-(1,3-benzodioxol-5-yl)propan-2-amine"
25C-NBOH,Phenethylamine,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2O)OC)Cl,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2O)OC)Cl,"2-[[2-(4-chloro-2,5-dimethoxyphenyl)ethylamino]methyl]phenol"
LSD,Lysergamide,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Quinpirole,Unknown,CCCN1CCCC2C1CC3=C(C2)NN=C3,CCCN1CCC[C@H]2[C@H]1CC3=C(C2)NN=C3,"(4aR,8aR)-5-propyl-1,4,4a,6,7,8,8a,9-octahydropyrazolo[3,4-g]quinoline"
"2-(2,5-Dimethoxy-4-methylphenyl)cyclopropylamine",Unknown,CC1=CC(=C(C=C1OC)C2CC2N)OC,CC1=CC(=C(C=C1OC)C2CC2N)OC,"2-(2,5-dimethoxy-4-methylphenyl)cyclopropan-1-amine"
Escaline,Phenethylamine,CCOC1=C(C=C(C=C1OC)CCN)OC,CCOC1=C(C=C(C=C1OC)CCN)OC,"2-(4-ethoxy-3,5-dimethoxyphenyl)ethanamine"
Methallylescaline,Phenethylamine,CC(=C)COC1=C(C=C(C=C1OC)CCN)OC,CC(=C)COC1=C(C=C(C=C1OC)CCN)OC,"2-[3,5-dimethoxy-4-(2-methylprop-2-enoxy)phenyl]ethanamine"
BL-3912A,Phenethylamine,CCC(CC1=C(C=C(C(=C1)OC)C)OC)N.Cl,CC[C@H](CC1=C(C=C(C(=C1)OC)C)OC)N.Cl,"(2R)-1-(2,5-dimethoxy-4-methylphenyl)butan-2-amine;hydrochloride"
"2,5-dimethoxy-4-methylthioamphetamine",Phenethylamine,CC(CC1=CC(=C(C=C1OC)SC)OC)N,CC(CC1=CC(=C(C=C1OC)SC)OC)N,"1-(2,5-dimethoxy-4-methylsulfanylphenyl)propan-2-amine"
5-MAPDB,Phenethylamine,CC(CC1=CC2=C(C=C1)OCC2)NC,CC(CC1=CC2=C(C=C1)OCC2)NC,"1-(2,3-dihydro-1-benzofuran-5-yl)-N-methylpropan-2-amine"
CPM,Unknown,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)C3=CC=C(C=C3)N4C(=O)C=CC4=O)C,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)C3=CC=C(C=C3)N4C(=O)C=CC4=O)C,"1-[4-[7-(diethylamino)-4-methyl-2-oxochromen-3-yl]phenyl]pyrrole-2,5-dione"
DOI,Phenethylamine,CC(CC1=CC(=C(C=C1OC)I)OC)N,CC(CC1=CC(=C(C=C1OC)I)OC)N,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine"
5-MeO-DALT,Tryptamine,COC1=CC2=C(C=C1)NC=C2CCN(CC=C)CC=C,COC1=CC2=C(C=C1)NC=C2CCN(CC=C)CC=C,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-prop-2-enylprop-2-en-1-amine
LAMPA,Lysergamide,CCCN(C)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCCN(C)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"(6aR,9R)-N,7-dimethyl-N-propyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
5-Hydroxytryptamine,Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,C1=CC2=C(C=C1O)C(=CN2)CCN,3-(2-aminoethyl)-1H-indol-5-ol
DAM-57,Lysergamide,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N(C)C,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(C)C,"(6aR,9R)-N,N,7-trimethyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
"4-Allyloxy-3,5-dimethoxyphenethylamine",Phenethylamine,COC1=CC(=CC(=C1OC=C)OC)CCN,COC1=CC(=CC(=C1OC=C)OC)CCN,"2-(4-ethenoxy-3,5-dimethoxyphenyl)ethanamine"
5-hydroxytryptamin ,Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,C1=CC2=C(C=C1O)C(=CN2)CCN,3-(2-aminoethyl)-1H-indol-5-ol
Lorcaserin,Unknown,CC1CNCCC2=C1C=C(C=C2)Cl,C[C@H]1CNCCC2=C1C=C(C=C2)Cl,"(5R)-7-chloro-5-methyl-2,3,4,5-tetrahydro-1H-3-benzazepine"
Pimavanserin,Unknown,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,1-[(4-fluorophenyl)methyl]-1-(1-methylpiperidin-4-yl)-3-[[4-(2-methylpropoxy)phenyl]methyl]urea
AET,Tryptamine,C(CSC(=N)N)N.Br.Br,C(CSC(=N)N)N.Br.Br,2-aminoethyl carbamimidothioate;dihydrobromide
BROMO-DRAGONFLY,Phenethylamine,CC(CC1=C2C=COC2=C(C3=C1OC=C3)Br)N,C[C@H](CC1=C2C=COC2=C(C3=C1OC=C3)Br)N,"(2R)-1-(4-bromofuro[2,3-f][1]benzofuran-8-yl)propan-2-amine"
BUFOTENIN,Tryptamine,CN(C)CCC1=CNC2=C1C=C(C=C2)O,CN(C)CCC1=CNC2=C1C=C(C=C2)O,3-[2-(dimethylamino)ethyl]-1H-indol-5-ol
DIPT,Tryptamine,CC(C)N(CCC1=CNC2=CC=CC=C21)C(C)C,CC(C)N(CCC1=CNC2=CC=CC=C21)C(C)C,N-[2-(1H-indol-3-yl)ethyl]-N-propan-2-ylpropan-2-amine
DOB,Phenethylamine,CC(CC1=CC(=C(C=C1OC)Br)OC)N,CC(CC1=CC(=C(C=C1OC)Br)OC)N,"1-(4-bromo-2,5-dimethoxyphenyl)propan-2-amine"
DOC,Phenethylamine,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,"(8S,9S,10R,13S,14S,17S)-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
DOM,Phenethylamine,CC1=CC(=C(C=C1OC)CC(C)N)OC,CC1=CC(=C(C=C1OC)CC(C)N)OC,"1-(2,5-dimethoxy-4-methylphenyl)propan-2-amine"
IBOGAINE,Unknown,CCC1CC2CC3C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,"(1R,15R,17S,18S)-17-ethyl-7-methoxy-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4(9),5,7-tetraene"
LSA,Unknown,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,"1,1-dioxo-1,2-benzothiazol-3-one"
MBDB,Amphetamine,CCC(CC1=CC2=C(C=C1)OCO2)NC,CCC(CC1=CC2=C(C=C1)OCO2)NC,"1-(1,3-benzodioxol-5-yl)-N-methylbutan-2-amine"
MESCALINE,Phenethylamine,COC1=CC(=CC(=C1OC)OC)CCN,COC1=CC(=CC(=C1OC)OC)CCN,"2-(3,4,5-trimethoxyphenyl)ethanamine"
MET,Tryptamine,CSCCC(C(=O)O)N,CSCC[C@@H](C(=O)O)N,(2S)-2-amino-4-methylsulfanylbutanoic acid
MIPT,Tryptamine,CC(C)N(C)CCC1=CNC2=CC=CC=C21,CC(C)N(C)CCC1=CNC2=CC=CC=C21,N-[2-(1H-indol-3-yl)ethyl]-N-methylpropan-2-amine
2C-B,Phenethylamine,COC1=CC(=C(C=C1CCN)OC)Br,COC1=CC(=C(C=C1CCN)OC)Br,"2-(4-bromo-2,5-dimethoxyphenyl)ethanamine"
2C-B-FLY,Phenethylamine,C1COC2=C(C3=C(C(=C21)CCN)OCC3)Br,C1COC2=C(C3=C(C(=C21)CCN)OCC3)Br,"2-(4-bromo-2,3,6,7-tetrahydrofuro[2,3-f][1]benzofuran-8-yl)ethanamine"
2C-C,Phenethylamine,COC1=CC(=C(C=C1CCN)OC)Cl,COC1=CC(=C(C=C1CCN)OC)Cl,"2-(4-chloro-2,5-dimethoxyphenyl)ethanamine"
2C-D,Phenethylamine,CC1=CC(=C(C=C1OC)CCN)OC,CC1=CC(=C(C=C1OC)CCN)OC,"2-(2,5-dimethoxy-4-methylphenyl)ethanamine"
2C-E,Phenethylamine,CCC1=CC(=C(C=C1OC)CCN)OC,CCC1=CC(=C(C=C1OC)CCN)OC,"2-(4-ethyl-2,5-dimethoxyphenyl)ethanamine"
2C-I,Phenethylamine,COC1=CC(=C(C=C1CCN)OC)I,COC1=CC(=C(C=C1CCN)OC)I,"2-(4-iodo-2,5-dimethoxyphenyl)ethanamine"
2C-P,Phenethylamine,CCCC1=CC(=C(C=C1OC)CCN)OC,CCCC1=CC(=C(C=C1OC)CCN)OC,"2-(2,5-dimethoxy-4-propylphenyl)ethanamine"
2C-T-2,Phenethylamine,CCSC1=C(C=C(C(=C1)OC)CCN)OC,CCSC1=C(C=C(C(=C1)OC)CCN)OC,"2-(4-ethylsulfanyl-2,5-dimethoxyphenyl)ethanamine"
2C-T-4,Phenethylamine,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC,"2-(2,5-dimethoxy-4-propan-2-ylsulfanylphenyl)ethanamine"
2C-T-7,Phenethylamine,CCCSC1=C(C=C(C(=C1)OC)CCN)OC,CCCSC1=C(C=C(C(=C1)OC)CCN)OC,"2-(2,5-dimethoxy-4-propylsulfanylphenyl)ethanamine"
2C-T-21,Phenethylamine,COC1=CC(=C(C=C1CCN)OC)SCCF,COC1=CC(=C(C=C1CCN)OC)SCCF,"2-[4-(2-fluoroethylsulfanyl)-2,5-dimethoxyphenyl]ethanamine"
4-ACETOXY-DET,Tryptamine,CCN(CC)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,CCN(CC)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,[3-[2-(diethylamino)ethyl]-1H-indol-4-yl] acetate
4-ACETOXY-DIPT,Tryptamine,CC(C)N(CCC1=CNC2=C1C(=CC=C2)OC(=O)C)C(C)C,CC(C)N(CCC1=CNC2=C1C(=CC=C2)OC(=O)C)C(C)C,[3-[2-[di(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate
4-ACETOXY-DMT,Tryptamine,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C,[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] acetate
4-ACETOXY-MIPT,Tryptamine,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,[3-[2-[methyl(propan-2-yl)amino]ethyl]-1H-indol-4-yl] acetate
"4-hydroxy-N,N-diisopropyltryptamine",Tryptamine,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C,3-[2-[di(propan-2-yl)amino]ethyl]-1H-indol-4-ol
4-Hydroxy-N-methyl-N-isopropyltryptamine,Tryptamine,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O,3-[2-[methyl(propan-2-yl)amino]ethyl]-1H-indol-4-ol
4-MeO-PCP,Dissociative,COC1=CC=C(C=C1)C2(CCCCC2)N3CCCCC3,COC1=CC=C(C=C1)C2(CCCCC2)N3CCCCC3,1-[1-(4-methoxyphenyl)cyclohexyl]piperidine
5-MeO-AMT,Tryptamine,CC(CC1=CNC2=C1C=C(C=C2)OC)N,CC(CC1=CNC2=C1C=C(C=C2)OC)N,1-(5-methoxy-1H-indol-3-yl)propan-2-amine
5-MeO-DIPT,Tryptamine,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-propan-2-ylpropan-2-amine
5-MeO-MIPT,Tryptamine,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-methylpropan-2-amine
BZ,Anti-cholinergic,C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,"1-azabicyclo[2.2.2]octan-3-yl 2-hydroxy-2,2-diphenylacetate"
METHOXETAMINE,Dissociative,CCNC1(CCCCC1=O)C2=CC(=CC=C2)OC,CCNC1(CCCCC1=O)C2=CC(=CC=C2)OC,2-(ethylamino)-2-(3-methoxyphenyl)cyclohexan-1-one
SALVINORIN B ETHOXYMETHYL ETHER,Dissociative,CCOCOC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C4=COC=C4)C)C(=O)OC,CCOCO[C@H]1C[C@H]([C@@]2(CC[C@H]3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)C4=COC=C4)C)C(=O)OC,"methyl (2S,4aR,6aR,7R,9S,10aS,10bR)-9-(ethoxymethoxy)-2-(furan-3-yl)-6a,10b-dimethyl-4,10-dioxo-2,4a,5,6,7,8,9,10a-octahydro-1H-benzo[f]isochromene-7-carboxylate"
Baeocystin,Tryptamine,CNCCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,CNCCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,[3-[2-(methylamino)ethyl]-1H-indol-4-yl] dihydrogen phosphate
Aeruginascin,Tryptamine,C[N+](C)(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)[O-],C[N+](C)(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)[O-],[3-[2-(trimethylazaniumyl)ethyl]-1H-indol-4-yl] hydrogen phosphate
5-Bromo-DMT,Tryptamine,CN(C)CCC1=CNC2=C1C=C(C=C2)Br,CN(C)CCC1=CNC2=C1C=C(C=C2)Br,"2-(5-bromo-1H-indol-3-yl)-N,N-dimethylethanamine"
N-Methyl-N-ethyltryptamine,Tryptamine,CCN(C)CCC1=CNC2=CC=CC=C21,CCN(C)CCC1=CNC2=CC=CC=C21,N-ethyl-2-(1H-indol-3-yl)-N-methylethanamine
"N,N-Diethyltryptamine",Tryptamine,CCN(CC)CCC1=CNC2=CC=CC=C21,CCN(CC)CCC1=CNC2=CC=CC=C21,"N,N-diethyl-2-(1H-indol-3-yl)ethanamine"
N-Ethyl-N-isopropyltryptamine,Tryptamine,CCN(CCC1=CNC2=CC=CC=C21)C(C)C,CCN(CCC1=CNC2=CC=CC=C21)C(C)C,N-ethyl-N-[2-(1H-indol-3-yl)ethyl]propan-2-amine
"N,N-Dipropyltryptamine",Tryptamine,CCCN(CCC)CCC1=CNC2=CC=CC=C21,CCCN(CCC)CCC1=CNC2=CC=CC=C21,N-[2-(1H-indol-3-yl)ethyl]-N-propylpropan-1-amine
"N,N-Diallyltryptamine",Tryptamine,C=CCN(CCC1=CNC2=CC=CC=C21)CC=C,C=CCN(CCC1=CNC2=CC=CC=C21)CC=C,N-[2-(1H-indol-3-yl)ethyl]-N-prop-2-enylprop-2-en-1-amine
"N,N-Dibutyltryptamine",Tryptamine,CCCCN(CCCC)CCC1=CNC2=CC=CC=C21,CCCCN(CCCC)CCC1=CNC2=CC=CC=C21,N-butyl-N-[2-(1H-indol-3-yl)ethyl]butan-1-amine
