Receptor,Transducer,Olanzapine,Clozapine,Aripiprazole,Risperidone,Haloperidol,Cariprazine
ALPHA2A,Gz,0.14582188874194282,0,0,0,0,0
ALPHA2B,Gi1,0,0.185381019178379,0.2111572720358287,0,0,0
ALPHA2B,Gi2,0.12762696904043205,0,0,0.12068184356464944,0,0
ALPHA2B,GoA,0.1242995545540914,0,0.13064730592805252,0.1385480028031398,0,0
ALPHA2B,Gz,0.44074659429124224,0,0,0,0,0
ALPHA2C,Gi1,0,-0.2761640487407577,0,-0.22087309633351293,-0.195650152413388,0
ALPHA2C,Gi2,0,0,0,-0.08429844967533301,0,0
ALPHA2C,GoA,-0.1202154368343431,-0.1311483927552739,0.14688025470019248,0,0,0
ALPHA2C,GoB,0,0,0.19665251760466868,0,0,0
ALPHA2C,Gz,0,-0.2020441076588388,0.6050360566755547,-0.2216583970426868,-0.15713383547962226,0
BETA1AR,Gs,0,-0.16688477330219412,0,0,0,0
BETA2AR,Gs,0,-0.30638325605699307,0,0.7153794247041007,-0.4586962027933178,0
D1,Gs,0,-0.1656823868088641,-0.2712791651754639,0,0,0
D2,Gi1,0,0,0.3633881512894433,0,0,0.4538495766861649
D2,Gi2,0,0,0.3589440086356041,0,-0.14906120260171257,0.48303959384883377
D2,Gi3,0,0,0.1985595359536308,0,-0.3778631510279464,0
D2,GoA,-0.13470822551555472,0,0.3522185483001154,0,0,0.43839800153073066
D2,GoB,0,-0.23691085121398908,0.5179440749147616,-0.15978320141673777,-0.7240503639584633,0.29120876097879866
D2,Gz,0,0,0.5831332689135714,0,-0.2412757815307498,0.9506593338216828
D3,GoA,-0.42009366723930314,-0.4187836049153354,0.900669599729396,0,-0.8831223997259492,0.5920575618949282
D3,GoB,-0.935978987007857,0,0.6717853059269695,-1.4674040956351682,-1.2876234913167726,0
D3,Gz,-0.3068429101919066,-0.3156383762699964,0.6280551979608094,-0.5119281850529122,-0.5663665790792402,0.547799037366976
D4,Gi2,0,0,0.27136552375169626,0,0,0.332368109279351
D4,Gi3,0,0,0.44574097051731354,0,0,0.440080347415375
D4,GoA,0,0,0.6170290520076773,0,0,0.7479410494883346
D4,GoB,0,-0.135410307954842,0.6468736454438792,-0.16938619712040584,-0.11693699343392756,1.0093721889710592
D4,Gi1,0,0,0.4947486726557125,0,0,0.5345714891968331
D4,Gz,-0.2207303488537436,-0.6455885541891034,0,-0.8292654234304514,-0.5273178110234543,0.9104023945502988
D5,Gs,-0.2368482352263772,-0.30691856894835834,0,0,-0.3793673367615683,0
5HT1A,Gi1,0,0.1967377325929928,0.5924873221470316,0,0,0.6631332842540518
5HT1A,Gi2,0,0.08871183818079086,0.4885175234071497,0,0,0.5598627998734871
5HT1A,Gi3,0,0.1518845340624932,0.44355348750791407,0.11005239819000212,0,0.509766913552097
5HT1A,GoA,0,0.43579063153359976,0.6574444621265548,0.2264942925996807,0,0.7269171528887718
5HT1A,GoB,0,0.5929223143620533,0.9594165450379204,0.1706133680319817,0,0.9293882335575409
5HT1A,Gz,0.30707359314184174,0.7459288399879983,0.8545113823403089,0.3781429684640061,0,0.7661718279698957
5HT1B,Gi1,-0.33402675150037703,-0.3478451452144862,0.6930870228506575,-0.35570562235833464,-0.16426430527100702,0.7108795598377419
5HT1B,Gi2,0,0,1.0403643862650274,-0.42997503524450154,0,0.6807932352497426
5HT1B,Gi3,0,0,0.9048880089739382,-0.7830259228191815,0,0.6057757498925475
5HT1B,GoA,0,0,1.2912805544002832,-1.4780985786614922,0,0.78324863486491
5HT1B,GoB,0,-0.7910086062177609,1.0351710120809468,-0.6716110459463903,0,0.8300913648811137
5HT1B,Gz,0,-0.5453674512507265,1.0612513581149914,-0.5261456356248112,-0.2350341183464774,1.0711268036912425
5HT1D,Gi1,-0.82804518408397,0,0.8889851617353277,-1.3476259003329485,-1.6080240930771297,0.6073930391484245
5HT1D,Gi2,-0.4979153927278343,0,0.5878818399069913,-0.8105224484231761,-0.8721044237004294,0.6571636802667883
5HT1D,Gi3,-0.8520237017882314,0.2673286435201727,0.5146903715839034,-1.4172820637785035,-1.5088915369445133,0.5940681336303906
5HT1D,GoA,0,0,0.6992678067228415,-1.504671456494364,-1.540020512737658,0.7714411958248073
5HT1D,GoB,-1.4793105352799223,0.4947386954476478,1.042943132876068,0,-2.3905306144570213,1.3122948494942386
5HT1D,Gz,0,0,1.2130579969518758,-1.7713421228356174,-1.7729640408022382,1.1958163801122583
5HT1E,Gi1,0,0.2290356823248724,0.5757290658763746,-0.21727563864941643,0,0.8599236159102444
5HT1E,Gi2,0.15357119209351025,0.31194111253796764,0.4205292711083446,0,0,0.688795516011575
5HT1E,Gi3,0,0.24380990909639372,0.5110270870849687,0.19122514414621708,0,0.6941819802821021
5HT1E,GoA,0.30072104250813253,0.5590917068891391,0.8311906575920608,-0.3558054122777023,0,1.037385342980048
5HT1E,GoB,0.3613287586955952,0.4442979595749495,0.6590574856712116,0,0,0.7457685187657034
5HT1E,Gz,0.35001560992124336,0.26337106229677415,0.46623951813623415,0,0,0.568817667417697
5HT1F,Gi1,0,0.39872753770189584,0.3645820492687976,0.3178808316085488,0,0.41222527130283926
5HT1F,Gi2,0,0.35231802927360395,0.2868209491707211,0.248585657767476,0,0.49013231397307105
5HT1F,Gi3,0,0.2403559298641887,0,0.3463222842410851,0,0.39071789390876505
5HT1F,Gz,0.3916064582105325,0.31375095423199684,0.5050990184069009,0,0,0.6689684157764038
5HT2A,Gq,-0.12419683007357986,-0.37879067150695983,0.6545924540272108,-0.14754091074103043,-0.21590803549761567,0.8535479549598854
5HT2A,G11,-0.39367950389581496,-0.301310269646955,0.6569959433809731,-0.3652621446920136,-0.3664812692947568,0.7727863603716849
5HT2A,G15,0,0,0.17141306433013617,0,0,0.14745213047282218
5HT2A,Gz,0,-0.08617434106435579,0.12614437673641343,-0.13380957555752937,0,0.1335374456845591
5HT2A,Barr2,0,0,0,-0.10751502515999964,0,0
5HT2B,Gq,-0.37849272505543785,-0.41054303655601193,0,-0.40775062204874074,-0.26618122282799284,0
5HT2B,G11,-0.2213664672806147,-0.24530943050824147,0,-0.25065141586844486,0,-0.11186586183736816
5HT2B,G15,0,0,0.1767470271237165,0,0,0
5HT2B,Gz,0,-0.35823514450265864,0,-0.3236593634934322,-0.18591443636587987,0
5HT2C,Gz,0,0,0.5858004409537327,-0.20256009875462647,0,0.5727636218057591
5HT2C,Gq,0,0,0.18769384619884957,0,0,0.152181567347507
5HT2C,G11,0,0,0.30234903527849216,0,0,0.23749388889991296
5HT5A,GoB,0,0,0,-0.1939399146374499,0,0
5HT6,Gs,-2.2171808959304378,-2.3835738552978607,0,-0.6222820637737984,0,0
